id,Tipo,Nombre,Ubicacion,Descripcion,Costo,MinimoPeriodo
1177,HabitacionHotel,213,Hallows,Kuhn-Oberbrunner,591.33,60
1178,HabitacionHotel,512,Bluestem,Feil LLC,904.6,60
1179,Apartamento,578,Memorial,Wilderman-Wisozk,181.79,30
1180,Vivienda,412,Loeprich,Hackett, Mayer and Oberbrunner,665.32,60
1181,HabitacionVivienda,956,Roxbury,Connelly Inc,438.83,30
1182,HabitacionVivienda,893,Victoria,Wisozk LLC,329.17,60
1183,Apartamento,452,Florence,Heathcote, Reichel and Harris,927.42,30
1184,HabitacionHotel,889,Comanche,Rowe Group,842.18,180
1185,Apartamento,576,Blaine,Conroy-Graham,86.09,1
1186,HabitacionVivienda,84,Surrey,Runte-Wintheiser,577.75,60
1187,HabitacionHostal,980,Cody,Schimmel-Barton,17.65,1
1188,Vivienda,197,Thackeray,Bahringer-O'Conner,234.58,1
1189,Apartamento,428,Ronald Regan,Wehner-Homenick,346.15,30
1190,Apartamento,431,Raven,Schmitt-Kub,281.67,30
1191,Vivienda,18,Grasskamp,Feeney, Trantow and Parker,593.08,1
1192,HabitacionVivienda,283,Sachs,Ullrich, Paucek and Hilll,638.69,30
1193,HabitacionHostal,282,Dixon,Bergnaum Inc,907.07,1
1194,HabitacionHostal,736,Lakewood,Bergnaum and Sons,611.52,1
1195,Apartamento,579,Walton,Wilderman, Hills and Ebert,552.12,60
1196,HabitacionVivienda,698,Warrior,Schmitt, Thompson and Tromp,447.52,180
1197,Apartamento,892,Wayridge,Jenkins-Beier,53.34,1
1198,HabitacionVivienda,85,Pleasure,Bradtke-Wiza,475.39,60
1199,HabitacionHostal,222,Shoshone,Hickle, Mayer and Hackett,744.8,30
1200,HabitacionUniversitaria,302,Golden Leaf,Mueller LLC,936.64,30
1201,Apartamento,67,Dayton,Lemke Group,745.53,30
1202,HabitacionHotel,424,Summerview,O'Connell, Kulas and Ryan,286.15,30
1203,HabitacionUniversitaria,246,Straubel,Kihn-Anderson,560.25,1
1204,Apartamento,626,Petterle,Christiansen LLC,366.99,1
1205,HabitacionHostal,925,Briar Crest,Pouros-Littel,820.34,30
1206,HabitacionVivienda,205,Ruskin,Jacobs-Reynolds,943.48,30
1207,HabitacionHostal,66,East,Satterfield-O'Keefe,557.47,1
1208,HabitacionHostal,426,Corscot,Gleichner LLC,419.9,1
1209,HabitacionVivienda,727,Susan,Schimmel, Jerde and Hintz,65.2,60
1210,HabitacionHotel,433,Corry,Cronin, Spinka and Swift,972.05,30
1211,HabitacionHostal,361,Pierstorff,Murray-Pfeffer,389.01,180
1212,Vivienda,655,Lunder,Goldner Inc,767.5,1
1213,HabitacionUniversitaria,425,Lukken,Parisian Inc,682.53,180
1214,Apartamento,957,Hermina,Ondricka-Shields,663.25,180
1215,Vivienda,441,Iowa,Cronin LLC,443.99,180
1216,HabitacionUniversitaria,430,Fordem,Effertz LLC,304.6,180
1217,HabitacionHotel,546,Debra,Goldner-Feest,375.7,30
1218,Apartamento,796,Southridge,Reichel LLC,877.29,180
1219,HabitacionHotel,35,Spenser,Harber-Wisozk,481.58,60
1220,HabitacionUniversitaria,108,Carpenter,Davis-Rutherford,197.07,180
1221,HabitacionVivienda,694,Sommers,Muller-Wilkinson,793.89,180
1222,Vivienda,548,Declaration,Frami and Sons,337.46,180
1223,HabitacionHostal,500,Springs,Harber-Ondricka,715.15,1
1224,Vivienda,158,Magdeline,Gulgowski Inc,69.15,1
1225,HabitacionHostal,60,Gina,Streich-Sipes,286.52,1
1226,HabitacionHostal,269,Independence,Hilll-D'Amore,207.5,180
1227,HabitacionVivienda,440,Rockefeller,Paucek, Schamberger and Oberbrunner,498.86,1
1228,HabitacionUniversitaria,503,Transport,Aufderhar, Jast and Stroman,854.66,60
1229,Apartamento,886,Surrey,Greenfelder, Lynch and Dietrich,819.44,180
1230,HabitacionUniversitaria,956,Cambridge,Mohr, Tremblay and McKenzie,568.45,1
1231,Vivienda,353,Redwing,Rau-Bradtke,505.04,60
1232,HabitacionVivienda,18,Ilene,Ritchie-Funk,339.94,30
1233,Apartamento,435,Coolidge,Donnelly, Beier and Towne,387.1,60
1234,Apartamento,961,Hallows,Gottlieb, Dietrich and Leuschke,641.54,60
1235,Apartamento,520,Basil,Johnston Inc,12.88,30
1236,HabitacionHostal,524,High Crossing,Sawayn-Yost,607.36,1
1237,HabitacionHostal,754,Sage,Kiehn-Bednar,73.08,30
1238,HabitacionHostal,222,Mesta,Strosin, Gutkowski and DuBuque,311.01,1
1239,HabitacionUniversitaria,796,Gale,Renner, Bashirian and Kovacek,182.53,1
1240,HabitacionUniversitaria,262,Golf,Pfannerstill Inc,411.17,1
1241,HabitacionVivienda,884,Drewry,Thiel LLC,744.7,60
1242,Vivienda,701,Buena Vista,Frami LLC,417.27,30
1243,HabitacionVivienda,167,Carioca,Bogan, Boehm and Mosciski,997.12,180
1244,Apartamento,33,Gale,Treutel Inc,249.16,180
1245,Vivienda,457,Clyde Gallagher,King, Stracke and Schroeder,897.2,1
1246,HabitacionVivienda,542,Magdeline,Hegmann, Mante and Boehm,601.05,1
1247,HabitacionVivienda,94,Clarendon,Casper, Becker and West,756.08,180
1248,Vivienda,800,Springs,Wiegand, Bogan and Bogisich,158.96,1
1249,HabitacionUniversitaria,925,Ludington,Schuster-Nader,480.56,1
1250,HabitacionHostal,958,Northland,Satterfield, Zemlak and Labadie,418.25,60
1251,HabitacionHostal,726,Fordem,Schroeder-Borer,662.39,60
1252,Apartamento,375,Hintze,O'Connell-Brakus,259.5,30
1253,Vivienda,953,Shopko,Bins-Grimes,623.55,1
1254,Vivienda,902,Vahlen,Hessel-Dietrich,653.97,60
1255,HabitacionHotel,731,Bowman,Jacobi-Connelly,783.66,60
1256,Apartamento,601,Independence,Rippin, Bruen and Tillman,696.83,30
1257,HabitacionVivienda,386,Londonderry,Ebert, Johnson and Leannon,776.73,1
1258,HabitacionUniversitaria,804,International,Kreiger-Jacobson,482.67,30
1259,Apartamento,438,Reinke,Thiel-Thiel,575.64,60
1260,Vivienda,364,Almo,Murray LLC,896.63,1
1261,Apartamento,572,Pearson,Mayert-Dach,828.17,60
1262,Apartamento,692,Toban,Mills, Hermiston and Rutherford,288.66,30
1263,Apartamento,56,Talisman,Jacobs Group,107.15,1
1264,Apartamento,277,Kinsman,Kub-Yundt,304.76,60
1265,HabitacionHotel,800,Kropf,Wolff-Kuhn,662.72,60
1266,HabitacionUniversitaria,372,Waxwing,Wilderman, Conroy and Wiza,351.62,1
1267,Apartamento,993,Acker,Davis Group,655.22,60
1268,HabitacionVivienda,504,Tennyson,Bruen, Feeney and Eichmann,905.74,180
1269,Vivienda,139,Lawn,Mosciski-Legros,38.16,1
1270,HabitacionUniversitaria,4,Summit,Dicki-Cartwright,377.45,30
1271,Apartamento,303,Thompson,Stanton, Berge and Kiehn,998.46,180
1272,Vivienda,527,Green,Bode, Lynch and Skiles,960.05,1
1273,HabitacionHotel,695,4th,Hayes, O'Conner and Goldner,911.23,1
1274,HabitacionHotel,32,Fallview,Bailey, Leffler and Dickinson,972.0,60
1275,HabitacionHostal,930,Messerschmidt,Hauck, Blick and Schmidt,340.2,180
1276,HabitacionVivienda,740,Sundown,Lehner Inc,81.82,30
1277,Vivienda,650,Bowman,Abshire-Rutherford,880.08,180
1278,HabitacionHostal,719,Starling,Ondricka, Zemlak and Conroy,103.08,180
1279,HabitacionHostal,341,Ludington,Reichert LLC,682.62,60
1280,Vivienda,473,Towne,Koelpin, Corkery and Sanford,81.93,60
1281,HabitacionHostal,983,Holy Cross,Considine-Bosco,429.93,180
1282,HabitacionHostal,538,Browning,Ward and Sons,467.61,1
1283,HabitacionUniversitaria,788,Troy,Heathcote-Daniel,787.66,180
1284,Apartamento,637,Eggendart,VonRueden Group,331.03,1
1285,HabitacionHotel,105,Monterey,Jast Inc,764.07,30
1286,HabitacionVivienda,586,Esker,Sauer Inc,174.94,180
1287,HabitacionUniversitaria,409,Schiller,O'Reilly Group,975.74,30
1288,Apartamento,866,Pennsylvania,Lakin and Sons,223.93,1
1289,HabitacionVivienda,727,Kennedy,Ernser LLC,31.83,30
1290,HabitacionHostal,475,Hanover,Orn-Brakus,150.24,180
1291,HabitacionHostal,852,Waywood,Hickle LLC,114.96,60
1292,HabitacionVivienda,268,Superior,Nicolas, Hilpert and Denesik,316.17,1
1293,Apartamento,771,Vahlen,Kohler, Orn and Hyatt,31.14,180
1294,HabitacionVivienda,515,Ramsey,Ward, Prohaska and Rau,224.46,180
1295,HabitacionHotel,41,Anzinger,Fay LLC,225.34,60
1296,HabitacionHostal,73,Macpherson,Streich, Shanahan and Carter,469.34,60
1297,HabitacionHotel,923,Homewood,Kilback and Sons,627.92,1
1298,Apartamento,120,Sutherland,Gottlieb and Sons,602.55,1
1299,HabitacionHotel,701,Independence,Larkin-King,332.02,30
1300,HabitacionUniversitaria,203,Welch,Littel, Fahey and Wehner,215.23,30
1301,HabitacionUniversitaria,697,Barnett,Hessel, Fisher and Vandervort,266.89,30
1302,HabitacionVivienda,920,Cordelia,Batz-O'Reilly,739.93,1
1303,HabitacionHotel,934,Fairfield,Morar, Bayer and Greenfelder,394.51,30
1304,Vivienda,762,Sundown,Runolfsdottir-Casper,321.46,60
1305,Vivienda,251,American Ash,Hamill-Bins,663.01,30
1306,Vivienda,779,Express,O'Keefe-Corwin,251.4,1
1307,HabitacionHotel,537,Burning Wood,Blick-Torphy,644.46,30
1308,Vivienda,938,American,Wiza, Jaskolski and Davis,803.33,180
1309,HabitacionHotel,86,Kropf,Mann, Kautzer and Mueller,779.84,1
1310,Apartamento,185,Sycamore,Mohr, Turcotte and Brekke,918.82,30
1311,HabitacionVivienda,446,Banding,Sporer Inc,484.41,180
1312,Vivienda,150,Melvin,Hills LLC,687.16,30
1313,HabitacionHostal,881,Granby,Boyer and Sons,405.74,180
1314,HabitacionUniversitaria,377,Anthes,Huels, Willms and Hand,387.04,180
1315,Apartamento,710,Spenser,Roberts Inc,692.79,1
1316,HabitacionUniversitaria,45,Commercial,Mohr LLC,577.34,1
1317,Apartamento,534,Center,Moore, Bechtelar and Sporer,546.08,1
1318,Apartamento,505,Lake View,Jerde Inc,327.62,1
1319,HabitacionHostal,199,Carey,Barrows, Graham and Runolfsson,563.3,1
1320,HabitacionHotel,705,Pankratz,Gorczany Inc,547.72,60
1321,HabitacionUniversitaria,493,Katie,Gottlieb and Sons,703.85,1
1322,Vivienda,12,Ridgeview,Kiehn-Veum,219.33,30
1323,Apartamento,213,Knutson,Thiel LLC,457.16,60
1324,Vivienda,396,Delaware,Harvey Group,544.4,30
1325,Vivienda,575,Moose,Simonis-Smith,335.03,30
1326,HabitacionHostal,545,High Crossing,Halvorson-Leffler,461.45,1
1327,Apartamento,173,Mosinee,Larkin Group,443.67,1
1328,HabitacionVivienda,264,Warner,Schmitt-Smith,714.11,180
1329,HabitacionVivienda,584,Oakridge,Fadel Inc,240.54,30
1330,Vivienda,516,5th,Dickens-Bode,639.44,180
1331,Apartamento,916,Buhler,Veum-Halvorson,690.14,1
1332,HabitacionUniversitaria,930,Kropf,Johns LLC,547.92,60
1333,HabitacionUniversitaria,929,Vahlen,Wilderman-O'Reilly,751.55,180
1334,Vivienda,281,Merchant,Fahey, Simonis and Cole,802.34,60
1335,HabitacionHotel,288,Forest Run,Glover-Bechtelar,580.11,60
1336,Vivienda,152,Huxley,Tillman, Kunde and Spencer,403.58,30
1337,HabitacionUniversitaria,171,Sycamore,McLaughlin-Hansen,207.03,180
1338,Apartamento,845,Shelley,Dietrich-Witting,62.68,1
1339,HabitacionHotel,323,Forest Run,Rau-Berge,4.92,1
1340,Vivienda,835,Loomis,Klocko-Bartoletti,262.16,30
1341,HabitacionVivienda,536,Sunbrook,Kassulke-Bayer,700.21,1
1342,HabitacionHostal,506,Sheridan,Grady, Lowe and Kemmer,385.55,60
1343,HabitacionUniversitaria,985,Jana,Anderson and Sons,262.28,30
1344,HabitacionHostal,401,2nd,Casper-Fisher,92.63,60
1345,Vivienda,733,Londonderry,Abshire, Romaguera and Bechtelar,230.1,30
1346,HabitacionHostal,130,Bluejay,Gulgowski, Koch and O'Connell,848.59,60
1347,Vivienda,526,Independence,Orn Inc,17.93,30
1348,HabitacionUniversitaria,888,Raven,Quigley Group,920.17,60
1349,HabitacionVivienda,824,Dapin,Littel-Sanford,920.39,180
1350,HabitacionUniversitaria,683,Aberg,Lesch-Lockman,630.8,1
1351,HabitacionVivienda,647,Almo,Hoppe LLC,534.72,60
1352,HabitacionVivienda,761,Roth,Muller and Sons,166.14,60
1353,HabitacionHostal,40,Clarendon,O'Keefe Group,801.91,1
1354,HabitacionHotel,629,Dryden,Graham-Hane,154.19,1
1355,HabitacionHostal,668,Bultman,Konopelski-Cummerata,368.56,30
1356,Apartamento,11,Oak,Roob-Kozey,35.83,1
1357,HabitacionHostal,529,Muir,Runolfsdottir, Effertz and Robel,927.55,30
1358,HabitacionVivienda,639,Mayfield,Sipes Group,451.86,1
1359,Vivienda,544,Talisman,Dooley-Satterfield,517.97,30
1360,Apartamento,749,Northfield,Kulas LLC,284.17,60
1361,HabitacionUniversitaria,940,Ruskin,Zulauf and Sons,386.09,60
1362,HabitacionUniversitaria,451,Corry,Swaniawski Group,332.71,30
1363,HabitacionUniversitaria,299,Florence,Dicki-Leuschke,391.41,180
1364,HabitacionUniversitaria,377,Summer Ridge,Glover, Schoen and Paucek,670.28,30
1365,HabitacionHotel,832,Oneill,Kozey, Zboncak and Kunze,596.09,60
1366,Apartamento,166,Pearson,Mueller, Thiel and Hermann,703.29,1
1367,Vivienda,842,Havey,Miller LLC,150.42,1
1368,HabitacionVivienda,953,Butternut,Kertzmann, Mohr and Kuhn,247.5,30
1369,HabitacionUniversitaria,532,Surrey,Jenkins-Dare,562.87,180
1370,HabitacionVivienda,519,Petterle,Hills Group,829.03,1
1371,HabitacionHostal,576,Springview,Rolfson, Moore and Collier,15.31,1
1372,HabitacionUniversitaria,4,Arrowood,Kuhlman Inc,7.07,1
1373,HabitacionUniversitaria,278,Meadow Ridge,Reichel, Hammes and Mayer,462.77,180
1374,HabitacionUniversitaria,870,Westerfield,Leffler LLC,713.17,60
1375,Apartamento,342,Leroy,D'Amore-Prosacco,347.82,30
1376,Apartamento,350,Di Loreto,Gutkowski Inc,656.0,60
1377,HabitacionHostal,546,Del Mar,Lemke, Hand and Treutel,119.85,1
1378,Vivienda,483,Maple,Douglas-Marquardt,501.11,60
1379,HabitacionVivienda,31,Anhalt,Orn-Reinger,407.65,60
1380,HabitacionHotel,676,Thompson,Windler, Lang and Osinski,462.55,30
1381,HabitacionVivienda,491,Ramsey,Hermiston Group,413.05,180
1382,HabitacionUniversitaria,238,Spenser,Hoeger Group,877.22,1
1383,HabitacionHostal,728,Warbler,Daugherty, Howell and Simonis,168.57,30
1384,HabitacionHostal,314,Heath,Connelly-Kozey,468.73,180
1385,Apartamento,855,Killdeer,Goyette Inc,455.2,60
1386,Vivienda,870,Grasskamp,Runolfsson, Kuphal and Kovacek,373.31,1
1387,HabitacionHostal,22,Bartillon,Bailey LLC,415.74,60
1388,HabitacionHostal,373,Almo,Kerluke-Kutch,70.08,30
1389,HabitacionHostal,483,Northland,Pfeffer-Ratke,355.4,1
1390,HabitacionHotel,624,Troy,Weimann, Kozey and Mohr,942.02,1
1391,HabitacionHotel,727,Orin,Roob, Nader and Hayes,278.65,1
1392,HabitacionHostal,979,Tennessee,Carroll-Hettinger,436.46,30
1393,HabitacionHotel,845,Macpherson,Keebler Inc,936.87,1
1394,HabitacionHotel,342,Ronald Regan,Kuhic Group,619.91,30
1395,Apartamento,373,Corry,Strosin LLC,526.47,180
1396,HabitacionHotel,771,Maple Wood,Cole Inc,450.48,60
1397,Vivienda,864,Vernon,Zboncak Group,900.41,1
1398,HabitacionHostal,177,International,Boehm, Rosenbaum and Gulgowski,573.75,180
1399,Vivienda,113,Forest,Hoeger, Stamm and Carroll,31.01,180
1400,HabitacionHostal,185,Summerview,Kassulke-Gusikowski,119.57,1
1401,HabitacionHotel,919,Clove,Shanahan Inc,399.68,60
1402,HabitacionVivienda,675,Mccormick,Emmerich LLC,862.29,30
1403,Vivienda,760,Division,Haag-Lockman,791.01,30
1404,HabitacionHostal,601,Brickson Park,Labadie and Sons,677.07,1
1405,HabitacionHostal,63,Lotheville,Sawayn-Leffler,622.78,1
1406,HabitacionUniversitaria,224,Mallory,Aufderhar-Dickens,286.71,30
1407,HabitacionUniversitaria,532,Nevada,Cummings, Hane and Barrows,822.15,1
1408,HabitacionHotel,850,Moulton,Hessel-Beatty,682.33,30
1409,HabitacionHostal,211,Spenser,Marks LLC,265.49,60
1410,HabitacionUniversitaria,157,Cody,Towne and Sons,228.38,180
1411,HabitacionHostal,287,Bay,Cartwright, Friesen and Schiller,163.06,1
1412,HabitacionHostal,409,Erie,Koss, Beahan and McCullough,55.72,1
1413,HabitacionHostal,238,Garrison,Hettinger, Weissnat and VonRueden,664.69,1
1414,Vivienda,149,Waywood,Weimann, Tremblay and Ankunding,679.64,1
1415,HabitacionVivienda,867,Merrick,Heller Group,185.18,60
1416,Vivienda,595,Blackbird,Denesik LLC,335.86,30
1417,Vivienda,558,Crowley,Gerlach-Grimes,980.31,180
1418,Apartamento,397,Lakewood Gardens,Renner-Runolfsson,526.66,60
1419,HabitacionHotel,238,Donald,Stracke, Gleichner and Kassulke,297.05,60
1420,Vivienda,999,Riverside,Kirlin, Leffler and Kulas,853.13,30
1421,HabitacionHotel,85,5th,Rau, Dicki and Sporer,164.68,180
1422,Vivienda,253,Spenser,Wyman-Sporer,46.06,180
1423,HabitacionHostal,678,Westport,Rau-Bailey,289.01,1
1424,HabitacionHotel,808,Forest,Parker-Greenholt,561.48,30
1425,HabitacionUniversitaria,170,Prairieview,Batz Inc,36.34,1
1426,HabitacionUniversitaria,753,Ruskin,Corwin, Schmeler and Bradtke,729.68,1
1427,HabitacionVivienda,110,Butternut,Mertz, Lueilwitz and Zulauf,853.76,60
1428,HabitacionVivienda,290,Declaration,Funk and Sons,94.87,60
1429,HabitacionHotel,56,Arapahoe,Quitzon and Sons,234.76,1
1430,HabitacionHotel,927,Truax,Schaden, Lynch and Labadie,606.81,1
1431,HabitacionHotel,614,Golden Leaf,Langosh, Kris and Adams,180.59,60
1432,Apartamento,820,Sheridan,Christiansen, Witting and Bruen,814.79,30
1433,HabitacionVivienda,881,Kipling,Schoen, Kerluke and Ritchie,992.73,1
1434,HabitacionUniversitaria,684,Florence,Gislason and Sons,815.43,1
1435,HabitacionHostal,828,Clove,White-Schmitt,162.46,60
1436,Vivienda,879,Little Fleur,Effertz-Goldner,365.82,1
1437,HabitacionHostal,571,Miller,Yost LLC,197.8,1
1438,Vivienda,569,Russell,Gibson LLC,894.64,180
1439,HabitacionHotel,293,Dottie,Hand-Kilback,699.32,180
1440,HabitacionUniversitaria,519,Duke,Schuster Inc,997.03,1
1441,HabitacionUniversitaria,738,Algoma,Walsh, Rice and Robel,20.44,180
1442,Vivienda,834,Eagle Crest,Hyatt-Rau,867.75,180
1443,HabitacionUniversitaria,365,Marquette,Lueilwitz-Will,335.08,30
1444,HabitacionHotel,139,Menomonie,Rogahn, Hirthe and Rohan,301.39,30
1445,HabitacionUniversitaria,302,Hagan,Mante, Keeling and Johns,522.22,180
1446,HabitacionHostal,979,Brentwood,Aufderhar, Krajcik and Mayer,561.98,60
1447,HabitacionHostal,770,Stephen,Pagac Inc,537.02,180
1448,HabitacionHostal,775,Porter,Pfeffer Inc,859.03,180
1449,HabitacionHostal,34,Truax,Feil-Zemlak,344.91,60
1450,HabitacionUniversitaria,716,Myrtle,Eichmann, Torp and Hamill,817.04,1
1451,HabitacionUniversitaria,570,Morningstar,Marquardt-Olson,177.68,1
1452,HabitacionHostal,643,Rutledge,Beer Inc,88.84,60
1453,HabitacionHostal,820,Barnett,O'Keefe Inc,293.47,180
1454,HabitacionHotel,989,Tennessee,Hermiston, Wiza and Balistreri,717.53,30
1455,HabitacionHotel,873,Burning Wood,Schneider, Hand and Moen,973.25,30
1456,Apartamento,323,Brickson Park,Barrows, O'Hara and Murray,502.39,180
1457,HabitacionHostal,723,Menomonie,Labadie-Swaniawski,545.64,180
1458,Vivienda,504,8th,Block, Kovacek and Johns,579.01,180
1459,HabitacionVivienda,536,Westend,Mraz-Schneider,505.41,30
1460,HabitacionVivienda,337,Pond,Mueller LLC,95.88,180
1461,HabitacionHostal,741,Anderson,Harber, Wolf and Blanda,367.06,1
1462,Vivienda,53,Glacier Hill,O'Connell, Sanford and Bernier,719.21,30
1463,HabitacionHotel,903,Debs,Simonis Inc,717.41,30
1464,Apartamento,783,Aberg,Zulauf Inc,720.2,30
1465,Apartamento,303,Sloan,Wiza, Stamm and Schinner,472.4,1
1466,HabitacionHotel,487,Commercial,Becker LLC,1.8,1
1467,Apartamento,394,Forest Run,Fritsch and Sons,128.51,60
1468,HabitacionVivienda,489,Swallow,Denesik LLC,151.66,180
1469,Apartamento,92,Rigney,Koch-Murray,595.35,60
1470,HabitacionHotel,373,Dwight,Crooks, Adams and Nicolas,763.31,180
1471,Vivienda,49,Northview,Ondricka, Kilback and Stark,542.25,1
1472,HabitacionUniversitaria,957,Hayes,Green Inc,404.09,180
1473,HabitacionUniversitaria,423,Fieldstone,Dietrich, Prosacco and McDermott,875.81,180
1474,HabitacionVivienda,742,Forest Dale,Carroll, Cartwright and Baumbach,153.73,1
1475,HabitacionUniversitaria,617,Loomis,Ruecker and Sons,273.45,1
1476,HabitacionHotel,102,Lukken,Rodriguez Inc,925.0,30
1477,Vivienda,604,Shoshone,Hagenes Inc,361.72,60
1478,HabitacionVivienda,232,Mallard,O'Hara-Haley,976.69,1
1479,Apartamento,166,Erie,Adams Group,177.63,30
1480,HabitacionHotel,730,International,Bogisich, Armstrong and Grimes,697.7,180
1481,Vivienda,714,Maryland,Strosin-Schiller,928.61,180
1482,HabitacionUniversitaria,654,Glacier Hill,Feeney-Dicki,580.37,30
1483,HabitacionHotel,475,Menomonie,Greenfelder and Sons,872.25,180
1484,HabitacionVivienda,666,Upham,Kiehn-Gerlach,62.29,180
1485,Apartamento,157,Stuart,Kulas LLC,770.47,30
1486,HabitacionHostal,578,Buell,Hilpert-Gaylord,531.84,60
1487,HabitacionHostal,922,Scott,Kemmer Group,840.9,30
1488,Apartamento,228,Forest Dale,Metz LLC,934.34,1
1489,HabitacionHostal,860,Jenifer,Prohaska-Beatty,45.77,180
1490,Apartamento,606,Oak Valley,Turcotte-Rowe,50.92,60
1491,HabitacionVivienda,209,Browning,Sanford, Willms and Schmidt,759.13,60
1492,HabitacionUniversitaria,916,Mifflin,Ziemann-Howe,190.29,180
1493,HabitacionHostal,322,Hermina,Murphy and Sons,751.9,1
1494,HabitacionHostal,300,Corry,Ankunding-Stark,732.34,30
1495,Vivienda,819,Anhalt,Dach Inc,970.77,180
1496,Vivienda,860,Hagan,Ratke-Konopelski,778.13,1
1497,HabitacionVivienda,435,Dryden,Bechtelar, Bednar and Macejkovic,957.53,180
1498,HabitacionVivienda,656,Mandrake,Larkin, Durgan and McClure,747.94,30
1499,HabitacionVivienda,331,Toban,Bernhard-Beahan,723.64,30
1500,HabitacionHotel,241,Prairieview,Homenick-Blick,709.39,60
1501,HabitacionVivienda,721,Katie,Huel, Marquardt and Goldner,760.44,30
1502,Apartamento,329,Basil,O'Reilly-Gaylord,130.88,180
1503,HabitacionUniversitaria,26,Stuart,Fahey and Sons,855.88,30
1504,HabitacionUniversitaria,456,Sutteridge,Hickle-Lang,237.93,30
1505,HabitacionUniversitaria,156,Graedel,Wiza, Bergnaum and Mosciski,595.38,1
1506,HabitacionHostal,495,Brentwood,Watsica-McDermott,923.42,180
1507,HabitacionHotel,149,Sachtjen,Will and Sons,770.07,60
1508,HabitacionVivienda,32,Spohn,Cole-Toy,306.22,180
1509,Apartamento,835,Paget,MacGyver and Sons,629.35,180
1510,Vivienda,889,Bluejay,Collier, West and Emmerich,783.21,60
1511,HabitacionHostal,617,Manley,Stanton-Von,127.5,60
1512,HabitacionVivienda,511,Hoard,Shanahan Group,11.02,60
1513,Apartamento,925,Sunfield,Cole, Towne and O'Connell,35.06,1
1514,Apartamento,604,Russell,Walsh, Thiel and Schuster,725.03,30
1515,Apartamento,522,Derek,Keebler LLC,318.88,60
1516,HabitacionHostal,912,Clarendon,Maggio Inc,776.8,1
1517,HabitacionVivienda,386,Gina,Koepp-Kunze,804.54,180
1518,HabitacionUniversitaria,688,Lake View,Homenick-Pfannerstill,381.88,60
1519,Vivienda,221,Basil,D'Amore, Ferry and Marvin,470.23,1
1520,HabitacionHotel,807,Rigney,Rodriguez, Beatty and King,57.68,60
1521,Apartamento,915,Village Green,Hickle-Schuppe,551.15,1
1522,HabitacionUniversitaria,340,Transport,Nicolas-Wilkinson,382.43,60
1523,HabitacionHotel,768,Gale,Grady and Sons,558.7,180
1524,Apartamento,82,Cherokee,Gislason Inc,207.89,30
1525,HabitacionHotel,652,Carpenter,Romaguera-Dietrich,944.27,180
1526,Apartamento,482,Kings,Gerlach, Runte and Daniel,482.23,1
1527,HabitacionHostal,530,Monica,Cormier-Dickens,779.99,180
1528,HabitacionHotel,270,Goodland,Howell and Sons,519.85,180
1529,HabitacionUniversitaria,681,Fisk,Wyman-Lockman,892.34,60
1530,HabitacionHostal,544,Warbler,Larson LLC,53.62,30
1531,HabitacionVivienda,805,Toban,Mante, Runte and Turcotte,993.31,30
1532,Vivienda,147,Mallard,Metz-Jones,398.86,1
1533,HabitacionHostal,542,Blue Bill Park,Rice Inc,234.19,60
1534,Apartamento,64,Claremont,Veum, Murray and Watsica,320.98,30
1535,HabitacionVivienda,694,Fremont,Purdy Group,496.37,60
1536,HabitacionHostal,824,Golf View,Ankunding, Rau and Strosin,945.84,1
1537,HabitacionVivienda,627,Forest Dale,Rempel-Langosh,13.92,180
1538,HabitacionHotel,497,Kenwood,Bode, Hansen and Mosciski,2.86,180
1539,HabitacionHotel,789,Bowman,McCullough LLC,614.7,180
1540,Apartamento,47,Forest Dale,Hermann, Shields and Jakubowski,702.05,30
1541,HabitacionHostal,557,Lawn,Cronin-Lind,21.35,180
1542,HabitacionVivienda,457,Mcbride,Marks Group,518.56,1
1543,HabitacionVivienda,894,Declaration,Swaniawski and Sons,184.0,60
1544,HabitacionUniversitaria,699,Wayridge,Harber LLC,365.07,30
1545,HabitacionHotel,630,Anhalt,Vandervort-Graham,169.51,60
1546,HabitacionUniversitaria,270,Manley,Johnston-Cummerata,803.55,30
1547,HabitacionHostal,757,Melody,Schmeler, Bartoletti and Bergstrom,140.06,180
1548,HabitacionHostal,479,High Crossing,Hauck, Olson and Kohler,210.39,1
1549,HabitacionHotel,598,Westridge,Wehner-Adams,395.66,1
1550,HabitacionUniversitaria,749,Victoria,Hickle LLC,369.33,30
1551,Vivienda,557,Westerfield,Quitzon-Fisher,600.65,180
1552,HabitacionUniversitaria,290,Jana,Monahan-Kuhn,770.75,180
1553,Apartamento,140,Fulton,Bogisich, Skiles and Wiza,663.99,30
1554,Vivienda,8,Welch,Muller, Schaefer and Prosacco,79.07,60
1555,Vivienda,101,Meadow Vale,Kihn, Christiansen and Bednar,621.45,180
1556,HabitacionVivienda,120,Jenifer,Hirthe-Wisozk,299.81,30
1557,HabitacionHotel,582,Oriole,Bednar, Hand and Rohan,58.08,30
1558,HabitacionUniversitaria,711,Iowa,Turner Group,873.42,60
1559,HabitacionUniversitaria,690,Straubel,Pollich, Hermiston and Streich,469.57,60
1560,HabitacionVivienda,888,Lyons,Gislason Inc,365.05,1
1561,HabitacionVivienda,635,Alpine,Altenwerth, Connelly and Reichel,752.18,30
1562,HabitacionUniversitaria,412,Eliot,Kub, Keebler and Altenwerth,954.85,1
