id,nombre,descripcion,costo
 1544,Shawn, Hilll Jacobi and Braun ,1981.08 
1545,Marena,Rippin and Sons,2994.61
1546,Cale,Auer Inc,440.7
 1547,Minor, Murray Sipes and Schmitt ,2558.1 
1548,Modesty,Wisoky-Kreiger,2224.59
 1549,Holly-anne, Wilderman VonRueden and Kling ,713.57 
1550,Rowena,Johnson Group,137.52
1551,Rogerio,Stoltenberg-Carter,2135.41
 1552,Juana, Heaney Hayes and Kshlerin ,1480.56 
1553,Raviv,Ferry and Sons,2422.07
1554,Yuma,Leuschke LLC,3976.61
1555,Delbert,Pacocha-Kuphal,684.72
 1556,Ingra, Schowalter Lockman and Hintz ,3403.36 
 1557,Tabbitha, D'Amore Upton and Bartell ,3348.77 
 1558,Elise, Collier Runte and Littel ,2211.97 
1559,Lonnie,Ankunding Inc,2735.01
 1560,Carree, Lueilwitz Emmerich and Gleichner ,1170.72 
1561,Brandie,Runolfsson-Braun,1387.4
1562,Lennie,Abshire-Bradtke,670.19
 1563,Bernetta, Barrows Kirlin and Mayer ,1368.54 
1564,Eartha,Barton and Sons,1969.19
1565,Jerry,Ankunding-Predovic,1180.36
1566,Baudoin,Abshire LLC,2453.44
 1567,Grace, Friesen Rosenbaum and Beier ,2737.27 
 1568,Lyle, Wolff Champlin and Langosh ,3658.94 
1569,Gretel,Wiegand Inc,1981.53
 1570,Laure, Jenkins Hauck and Huels ,2872.68 
1571,Aurlie,Lehner-Prohaska,1597.68
1572,Deena,Labadie-Stamm,3779.53
1573,Alasteir,Emard-Marquardt,155.98
1574,Hadlee,Littel-Hilll,3930.63
 1575,Kathie, Gusikowski McDermott and Stracke ,1267.55 
1576,Lindsey,McLaughlin-DuBuque,2660.05
1577,Binni,Dach and Sons,662.17
1578,Kaitlin,Murray-Parisian,3342.58
1579,Connor,Muller-Schroeder,5.86
1580,Webb,Hickle-Langworth,192.54
 1581,Teddy, Rath Anderson and Breitenberg ,1413.82 
1582,Mala,Kessler and Sons,1640.28
1583,Kipp,Ziemann-Greenholt,2049.06
1584,Daphene,Vandervort and Sons,1596.93
1585,Elmore,Schaden-Labadie,767.62
1586,York,Braun-Bechtelar,1843.23
 1587,Dulcy, Bogisich Lehner and Cummings ,2991.24 
1588,Fredric,Breitenberg LLC,2897.21
1589,Marijn,Becker-Douglas,3556.91
1590,Anstice,Rippin-Powlowski,1578.07
 1591,Cece, Kautzer Legros and Cummings ,145.87 
1592,Hi,Wyman LLC,183.02
 1593,Roger, Stoltenberg Davis and Schmidt ,1111.22 
 1594,Frederica, Nienow Okuneva and Hackett ,3447.55 
 1595,Margarette, Mitchell Homenick and Bogan ,3548.32 
 1596,Ronda, Gaylord Beatty and Conn ,760.06 
1597,Darbie,Marvin and Sons,3092.85
1598,Eleanore,Klein and Sons,1129.07
 1599,Lucky, Johnson Mante and Keeling ,348.92 
 1600,Giralda, White Ledner and Graham ,2588.6 
1601,Daveen,Maggio LLC,3845.43
 1602,Mab, Bartoletti Hahn and Torp ,2625.68 
1603,Drusi,Satterfield-Murazik,1580.54
 1604,Kass, Littel Goldner and McLaughlin ,52.96 
 1605,Slade, Roob Dare and Nikolaus ,2444.09 
 1606,Theodosia, Haley Kuhn and Reinger ,1626.92 
1607,Cassey,Kassulke Inc,1732.42
 1608,Clementia, Oberbrunner Bednar and Kautzer ,3057.93 
 1609,Lorrayne, Quitzon Schiller and Goodwin ,3468.49 
 1610,Hughie, Botsford Morar and Maggio ,2540.36 
 1611,Ruy, Greenfelder Lueilwitz and Boehm ,3707.37 
1612,Timmy,Turcotte-Kuhn,2276.61
1613,Wiley,Dibbert-Stroman,880.84
1614,Kial,Kuvalis Inc,3956.46
 1615,Rani, Stroman Koelpin and Lowe ,3720.16 
1616,Madelyn,Oberbrunner-Cartwright,3036.26
1617,Daisey,Hayes-Haag,359.87
 1618,Dorthy, Rodriguez Hartmann and Stark ,998.98 
 1619,Janis, Effertz Kessler and Bahringer ,2317.42 
1620,Theodoric,Davis LLC,3350.73
 1621,Anders, Hartmann Braun and MacGyver ,311.98 
1622,Filia,Beatty Inc,2839.58
1623,Sabra,Bashirian-Predovic,2417.01
1624,Menard,Ferry-Fay,3426.34
1625,Donn,Schinner-Goldner,3868.51
 1626,Valery, Windler Bednar and Hettinger ,3515.01 
 1627,Patti, Emmerich Olson and Miller ,2674.42 
 1628,Leora, Lemke Hagenes and Turcotte ,3329.27 
 1629,Tiffany, Rice Okuneva and Denesik ,3751.78 
1630,Beverie,Johns LLC,442.42
1631,Ainslee,Gaylord Inc,3174.11
 1632,Warren, Sawayn Welch and Hauck ,32.4 
1633,Imogen,Ruecker-Legros,3429.1
1634,Laurens,Schroeder-Schultz,223.55
1635,Ray,Kuhic LLC,408.34
1636,Casar,Lang-Doyle,618.98
 1637,Alleyn, Stiedemann Hagenes and Stehr ,3982.48 
1638,Waldemar,Glover Inc,3000.8
1639,Tobias,Schowalter-Gleichner,3166.6
1640,Baudoin,Conn Group,61.99
1641,Meagan,Torphy and Sons,1911.52
1642,Yorker,Reichel and Sons,185.96
 1643,Kingsly, Ritchie Schuster and Stracke ,2536.93 
1644,Brent,Bogan-Will,3265.4
 1645,Clarissa, Cremin Hessel and Mayert ,1876.37 
 1646,Candace, McClure Stamm and Yost ,781.26 
 1647,Claudius, Doyle Lehner and Romaguera ,1170.09 
 1648,Aili, Prohaska Dickinson and Legros ,1117.05 
1649,Nickie,Kiehn and Sons,1618.63
 1650,Gwyneth, Batz Abshire and Hackett ,2507.01 
1651,Karyn,Dach-Cormier,1519.55
1652,Clare,Connelly Group,395.82
1653,Joela,Lebsack-Kautzer,1321.49
1654,Derron,Kuhlman-Dach,3610.55
1655,Beatriz,Dooley LLC,2165.43
1656,Ricardo,Medhurst-Fritsch,1665.51
1657,Alair,Wiza-Simonis,2116.53
 1658,Zitella, Bartell Dicki and Howe ,2273.54 
1659,Gothart,Bechtelar-O'Connell,1761.34
1660,Jessee,Jaskolski LLC,2851.69
1661,Karola,Zboncak Inc,124.86
 1662,Tildy, Schowalter Kunze and Roob ,2913.81 
1663,Jessa,Schiller LLC,2300.39
1664,Jeniffer,Treutel-Herzog,2849.33
1665,Jacquetta,Crist-Auer,3911.1
1666,Graig,Zemlak-Ebert,3674.51
1667,Allene,Littel LLC,594.14
 1668,Graehme, Kessler Kris and Lowe ,272.1 
1669,Flinn,Weber-Fahey,3107.3
 1670,Kippie, Casper Medhurst and Greenholt ,1357.56 
1671,Cale,Schumm Inc,1063.98
1672,Gwenni,Goodwin-Dickens,2269.74
 1673,Skippy, Reichel Spinka and Schuppe ,571.71 
1674,Scotty,Larkin Group,138.82
 1675,Alexandros, Mraz Grimes and Gottlieb ,3637.65 
1676,Bjorn,Boyer-Walker,1253.42
1677,Ardyth,Boehm Group,598.54
1678,Russ,Hilll-Durgan,2287.39
1679,Thurstan,Kreiger Group,2169.88
1680,Deloris,Walsh Group,1113.22
1681,Valeda,Schneider-Hauck,3561.17
 1682,Mina, Dare Hermann and Kutch ,2578.04 
 1683,Emalee, McClure Graham and Schowalter ,3340.58 
1684,Biron,Mohr Group,3954.12
1685,Laurena,Marquardt-DuBuque,1110.36
1686,Thia,Kuphal LLC,1839.18
1687,Tresa,Pagac and Sons,2300.24
1688,Sancho,Schultz LLC,844.1
 1689,Adelaide, Block Grady and Reinger ,2262.76 
1690,Ulla,Pollich LLC,2250.93
1691,Hildy,Prosacco-D'Amore,151.08
1692,Georgy,Abernathy Group,1973.11
 1693,Hendrika, Lehner Grimes and Hane ,3485.23 
1694,Helga,Turcotte LLC,3928.61
1695,Pyotr,Smitham-Casper,2633.17
 1696,Maris, Cruickshank Marvin and Bartell ,3861.5 
1697,Anne-marie,Mante Group,2708.45
 1698,Belva, Kemmer Senger and DuBuque ,2281.89 
 1699,Keelby, Daniel Herzog and Connelly ,2619.95 
1700,Christopher,Hudson Group,2709.09
1701,Bethany,Leuschke Group,1029.59
 1702,Linnie, Schuppe Hickle and Hyatt ,102.97 
1703,Darin,Boyle-Rice,961.49
 1704,Dirk, Haag Streich and Schultz ,2996.74 
1705,Cosmo,Rohan Inc,3739.13
1706,Corie,Hermann-Towne,3294.6
1707,Filip,Kautzer Group,1977.19
 1708,Daniele, Cronin Dickens and Boyer ,1335.19 
1709,Chaim,Windler Group,3366.09
1710,Rudolf,Oberbrunner-Satterfield,2623.47
1711,Arda,Marvin-Luettgen,1897.26
 1712,Jeffie, Fritsch Cormier and Collier ,1549.54 
1713,Eugenius,Rowe LLC,2460.56
1714,Olia,Eichmann-Kirlin,1206.95
1715,Mabel,Stokes LLC,2936.63
1716,Wylie,Bartell-Blick,2301.22
1717,Veronike,Collins and Sons,709.54
1718,Karon,Tillman-Brekke,573.95
1719,Munmro,Schiller-Connelly,417.67
 1720,Dawna, McKenzie Balistreri and Ratke ,2746.38 
1721,Keslie,Sanford Inc,1973.53
 1722,Herrick, Bradtke Goodwin and Grimes ,674.15 
1723,Loralyn,Mraz Group,561.56
1724,Carmencita,Kilback Inc,3735.94
 1725,Brittni, Hilpert Ondricka and Lynch ,3911.91 
1726,Willi,Mohr Group,1816.81
1727,Bernelle,Halvorson and Sons,1914.21
1728,Bobby,Emmerich Inc,718.24
 1729,Hunt, Wehner Russel and Jaskolski ,3844.36 
1730,Nevin,Connelly Group,749.76
 1731,Mitchel, Spencer Mraz and Brekke ,2438.93 
 1732,Cazzie, Padberg Mitchell and Lueilwitz ,1920.24 
1733,Ebenezer,Rohan LLC,3554.08
1734,Sharai,Schroeder Group,2166.71
 1735,Patty, Wehner Moore and Pfannerstill ,2247.81 
1736,Ethe,Schowalter-Maggio,3730.02
1737,Consuela,Parker Inc,1586.88
1738,Trixi,Strosin-Kassulke,2894.88
 1739,Dyane, Schultz Blanda and Hudson ,3086.95 
1740,Christian,Kihn Group,1423.97
 1741,Brietta, Krajcik Kub and Schaefer ,2681.63 
1742,Saree,Cronin LLC,2933.8
 1743,Aveline, Reinger Predovic and Bergstrom ,2185.11 
1744,Marigold,Hills and Sons,3860.57
1745,Angeli,Kunze-Schaden,3345.05
 1746,Florida, Auer Welch and Schoen ,2016.45 
1747,Stephannie,Koch LLC,642.83
1748,Wakefield,Cartwright-Collier,85.42
1749,Barbette,Wilkinson Inc,2699.42
 1750,Salim, MacGyver Hermann and Gaylord ,2497.15 
1751,Skip,Larson-Watsica,3632.52
 1752,Myrlene, Jacobi Macejkovic and Dooley ,939.6 
 1753,Callida, Considine Shanahan and Ullrich ,2958.17 
 1754,Danita, Towne White and Osinski ,2273.54 
1755,Gar,Wehner-Aufderhar,151.18
 1756,Alvis, Hirthe Beahan and D'Amore ,497.52 
1757,Bronny,Metz and Sons,76.86
1758,Neale,Schowalter-Maggio,2292.77
1759,Darcee,Lubowitz-Yundt,2119.7
1760,Lind,Haley Inc,3165.16
1761,Nestor,Hane-Hermiston,3281.17
1762,Ulises,Anderson and Sons,549.59
1763,Davidson,Kshlerin-Ziemann,3313.6
 1764,Cristine, Torphy Marvin and Nolan ,2291.52 
1765,Caleb,Gibson LLC,2788.77
1766,Donal,Zulauf Inc,1525.95
 1767,Shanan, Sawayn Prosacco and Fahey ,1028.4 
1768,Isidore,Gorczany-Bergnaum,3051.13
1769,Krissy,Effertz-Dibbert,1166.08
1770,Curran,Abbott and Sons,3224.95
1771,Magdaia,Greenholt-Swaniawski,3476.5
1772,Melony,Corwin-Bogan,3988.53
 1773,Lay, Effertz Fisher and Marvin ,3322.42 
 1774,Evania, Pouros Gerlach and Marquardt ,3053.5 
1775,Aldous,Jenkins-Bartell,1306.23
 1776,Rutledge, Kemmer Moen and Dicki ,2435.67 
1777,Rorke,McLaughlin LLC,3878.58
1778,Myca,Kovacek Inc,2814.33
 1779,Trever, Goodwin Lindgren and Halvorson ,243.73 
1780,Mark,Boehm-Durgan,822.16
1781,Sayers,Marks-Bogisich,1506.59
1782,Dugald,Pouros-Quigley,730.28
 1783,Alexander, Heller Beier and Mitchell ,2632.08 
1784,Loleta,Heaney-Weimann,44.86
1785,Vale,Gutmann-Quitzon,2713.69
 1786,Nikaniki, Reinger Bauch and Pouros ,2875.6 
 1787,Noel, Bashirian Cormier and Murray ,3219.07 
1788,Emma,Harvey-Osinski,3976.38
1789,Benoite,Bergnaum-Robel,1962.15
 1790,Faustine, Thompson Cummerata and Orn ,56.14 
1791,Delmer,Jerde Inc,1020.78
 1792,Kellina, Olson Heidenreich and Pacocha ,249.04 
1793,Cosmo,Sanford Group,3427.71
1794,Gianni,Miller-White,3586.62
1795,Heloise,Lang LLC,958.84
 1796,Tomkin, Casper Beatty and Torp ,2583.56 
 1797,Nap, Stark Rau and Langosh ,1965.7 
1798,Trish,McGlynn Group,736.56
1799,Daron,Price-Dickens,435.28
1800,Tracey,Roberts-Dietrich,3609.74
1801,Babbette,Raynor-Hahn,3304.3
1802,Joya,Quigley Inc,933.61
 1803,Lise, Cronin Casper and Cartwright ,1094.91 
1804,Pennie,Treutel-Considine,3442.98
1805,Lyssa,Kuhlman-Quigley,2723.39
 1806,Morie, Balistreri Wehner and Kub ,3038.01 
1807,Bekki,Treutel and Sons,864.56
1808,Trula,McGlynn-Stracke,1981.51
1809,Ola,Crooks and Sons,2414.16
1810,Stanislaw,Franecki-Jakubowski,2996.28
 1811,Adolph, Carroll Bogan and Howell ,1292.08 
1812,Hazlett,Hauck-Doyle,473.74
1813,Sawyer,Tremblay-Borer,3781.6
1814,Elsie,Schoen-Schiller,1207.38
1815,Sela,Lakin Group,499.47
 1816,Denys, Fisher Becker and Wyman ,692.61 
1817,Shurwood,Runolfsdottir-Rippin,2620.04
1818,Shawna,Spinka Inc,1465.58
 1819,Bryna, Beahan Jones and Hermann ,1253.73 
1820,Elliot,Dach-Carter,25.51
1821,Clair,McDermott and Sons,3600.58
 1822,Darcey, Cummerata Mitchell and Pacocha ,1799.44 
1823,Tabbie,Ferry-Rolfson,1417.39
1824,Aleta,Hammes and Sons,1607.95
 1825,Chicky, West Smitham and O'Conner ,3428.97 
1826,Kev,Strosin-Pfannerstill,3178.79
 1827,Di, Cummerata Hagenes and Steuber ,716.3 
1828,Jackelyn,Koepp and Sons,802.64
1829,Armstrong,Price-Hoppe,2957.78
 1830,Giovanna, Pagac O'Reilly and Zieme ,3907.7 
 1831,Ricardo, Wisoky Blanda and Langworth ,2552.89 
1832,Calvin,Beer Group,2149.21
 1833,Cchaddie, Boyer Kessler and Ritchie ,2007.59 
1834,Ekaterina,Heller Inc,1477.05
1835,Talbert,Glover-Schmitt,2776.7
1836,Grady,Zemlak LLC,68.29
1837,Rafaello,Strosin LLC,1455.88
1838,Suzann,Schultz-Treutel,1906.91
1839,Corine,Russel Inc,765.41
 1840,Jeannine, McGlynn Kiehn and Abshire ,25.75 
 1841,Wilbert, Reynolds Prohaska and Johnson ,1407.91 
1842,Homerus,Kulas-Cummings,3066.82
 1843,Kissee, Schmitt Marquardt and Fisher ,1441.18 
1844,Palm,Pacocha Group,1902.83
1845,Claire,Miller LLC,2818.19
1846,Susannah,Gerlach-Kulas,1485.7
1847,Vivyan,Bashirian and Sons,3095.49
1848,Allsun,Boyle-Hintz,726.88
 1849,Roseanne, Rowe Schuppe and Weissnat ,3855.96 
1850,Parker,Ullrich-White,2747.32
1851,Karlen,Collier-Rowe,3108.55
 1852,Orville, Lubowitz Wolf and Harvey ,2677.0 
1853,Giorgi,Borer Inc,609.1
 1854,Arnie, Kemmer Runolfsson and Mayer ,758.19 
 1855,Sheelah, Borer Baumbach and Grant ,3482.16 
1856,Maggy,Bosco Group,2184.11
 1857,Osbert, Powlowski Grady and Harber ,1634.55 
1858,Ingrim,Stracke-Marquardt,2436.9
1859,Hube,Hane-Lemke,1717.66
1860,Wylie,Crist LLC,3831.08
1861,Abbey,Kessler-Monahan,2830.73
1862,Valerye,Runolfsdottir-Huel,3730.87
1863,Rachel,Frami and Sons,751.84
1864,Polly,Nienow-Schultz,3971.36
1865,Aldrich,Harber Group,3721.13
 1866,Fanya, Spinka Pfeffer and Powlowski ,3024.67 
1867,Lucio,Gerhold-Armstrong,2858.68
 1868,Leah, Bode Grimes and Tillman ,3430.12 
1869,Abbe,Stiedemann-Labadie,3380.96
 1870,Aveline, Pouros Veum and D'Amore ,2580.7 
 1871,Clifford, Sipes Cummings and Collier ,24.95 
1872,Yelena,McDermott Inc,210.46
 1873,Valeda, O'Keefe Heller and Witting ,1884.95 
1874,Tybalt,Collier-Aufderhar,782.53
1875,Artair,Mueller-Bradtke,2997.7
1876,Loutitia,Gusikowski-Feest,1587.41
1877,Fredrika,Buckridge and Sons,562.69
 1878,Ram, Hermann Hane and Kiehn ,1124.62 
1879,Kaye,Christiansen-Medhurst,167.42
 1880,Cati, Wintheiser Emmerich and Boyle ,2398.39 
1881,Lodovico,Homenick-Stark,807.04
1882,Zoe,Connelly LLC,1062.14
 1883,Davidson, Dietrich Parisian and Conn ,2445.17 
 1884,Magdalena, Vandervort Walsh and Herzog ,2424.32 
 1885,Chrisse, Morar Hintz and Willms ,379.05 
1886,Suzanna,Ortiz Group,2444.99
1887,Violetta,Wisozk-Fahey,3820.15
 1888,Daron, Fay Orn and Stoltenberg ,2519.59 
1889,Trumann,Breitenberg and Sons,3465.83
 1890,Daphene, Kemmer Schulist and Pouros ,757.61 
 1891,Orv, Schmeler Fahey and Abernathy ,3964.76 
1892,Javier,Ortiz-Kovacek,3374.91
1893,Jacinda,Hoppe-Frami,3798.56
1894,Carmine,Breitenberg-Boyer,2775.49
1895,Scott,Bahringer Inc,1706.16
1896,Ivor,Reilly and Sons,195.49
 1897,Otis, Stroman Krajcik and Bogan ,2336.53 
 1898,Dasha, Gutmann Bradtke and Skiles ,2008.78 
1899,Maxie,McDermott-Jaskolski,2722.41
1900,Britney,Jerde-McDermott,350.46
 1901,Justina, Lebsack Witting and Cronin ,3593.44 
1902,Rodolphe,Kozey-Ferry,590.87
1903,Ekaterina,Borer-Fadel,1416.64
 1904,Mickie, Schmeler Reichel and Jakubowski ,1601.43 
1905,Vanessa,Runolfsson Inc,1540.34
 1906,Juanita, Wiegand Donnelly and Oberbrunner ,1185.1 
1907,Cristi,Gaylord-Kovacek,3322.47
 1908,Heywood, Hansen Frami and Legros ,1243.98 
1909,Melly,Brown-Ferry,2948.43
1910,Lizabeth,Satterfield-Block,2196.3
 1911,Jaquith, Waters Luettgen and Steuber ,2118.29 
 1912,Fiann, Gerhold Lakin and Jaskolski ,3306.51 
 1913,Elwira, Weber Murphy and McClure ,3693.58 
 1914,Aldis, Goodwin Koss and Grimes ,1631.67 
1915,Margarette,Baumbach Group,1519.8
 1916,Darleen, Kemmer Keebler and Bergnaum ,2340.29 
 1917,Ginger, Borer Nolan and Larkin ,3775.71 
1918,Goddard,VonRueden and Sons,2589.96
1919,Wyatt,Lind Inc,1373.95
1920,Valdemar,Senger and Sons,1159.21
 1921,Rona, Schmeler Hermann and Abernathy ,2857.45 
1922,Cosetta,Orn-Conroy,1223.69
 1923,Mavra, Considine Hickle and Davis ,3837.96 
 1924,Truda, Olson Langosh and Fisher ,92.41 
1925,Mady,Hamill LLC,3743.66
 1926,Jon, Casper Hane and Ankunding ,1461.76 
1927,Emerson,Kuhic-Braun,3585.49
1928,Galen,Roob LLC,1512.75
 1929,Luce, Ruecker Hintz and Runolfsson ,2181.28 
1930,Berte,Berge LLC,11.66
1931,Darcee,Padberg-Friesen,388.37
1932,Kayla,Jenkins Inc,562.62
1933,Melesa,Littel-Reichel,1592.9
1934,Fraser,Cormier-DuBuque,1038.36
1935,Ali,Huel Inc,548.28
1936,Zitella,Kihn-Russel,2796.03
 1937,Marin, Spinka Schulist and Rodriguez ,361.42 
 1938,Nollie, Schamberger Fay and Marvin ,853.68 
1939,Guss,Hansen-Mayert,3867.87
1940,Jazmin,Adams Inc,2226.97
 1941,Gilles, Feest Crist and Carroll ,1766.37 
1942,Devan,Conn-Klocko,3347.58
 1943,Elvin, Collins Harber and Farrell ,2956.94 
 1944,Lezlie, Labadie Gerlach and Champlin ,259.11 
1945,Mandy,Kulas Inc,3172.14
1946,Katey,Dickinson-McClure,3517.53
1947,Lizzy,Kirlin-Hayes,3250.07
 1948,Sergio, Predovic White and Nader ,2887.26 
1949,Janna,Luettgen-Hammes,2647.45
 1950,Frants, Schimmel Hessel and Murray ,1119.2 
 1951,Mikol, Bernhard Bartoletti and Cronin ,366.35 
 1952,Philipa, Quitzon Anderson and Ziemann ,786.94 
1953,Ricca,Boehm-Kemmer,82.21
1954,Mahala,Corwin-Kilback,2649.99
 1955,Keene, Wilkinson Haag and Reilly ,672.68 
1956,Nerta,Schroeder-Stehr,2560.31
1957,Brianna,Wiegand Inc,479.1
1958,Roxi,Moore and Sons,787.84
1959,Maurizia,West-Crist,2238.81
1960,Denys,Feil and Sons,2221.33
1961,Raddie,Pfannerstill-Tromp,2970.09
1962,Miof mela,Spinka-Cremin,706.06
1963,Barbaraanne,Wehner Group,205.98
 1964,Josefa, Blanda Daniel and Weissnat ,2747.04 
1965,Patty,Bergnaum Group,1332.22
1966,Lilia,Wolf-Hahn,336.58
1967,Dalston,Nicolas and Sons,356.06
1968,Bessy,Corkery-Zieme,1505.44
1969,Atalanta,McGlynn-Effertz,895.29
 1970,Darby, Gutmann Zemlak and Stokes ,1821.99 
1971,Tyrone,Zulauf-Steuber,3075.55
1972,Gael,Kiehn LLC,2218.52
1973,Tristam,Krajcik Group,3305.46
1974,Chic,Kemmer-Hessel,3662.39
 1975,Susette, Dach Orn and Stroman ,3347.45 
1976,Alexis,Lebsack LLC,722.92
 1977,Ramsey, Swift Farrell and Farrell ,2958.59 
1978,Joleen,Bauch-Wilderman,2331.61
1979,Delainey,Feest LLC,1711.36
1980,Thacher,Metz-Corwin,1056.08
1981,Analiese,Monahan LLC,574.08
1982,Jodi,Renner Inc,861.62
1983,Darrelle,DuBuque Inc,245.98
 1984,Konrad, Conroy Hudson and Corkery ,1654.22 
1985,Elliot,Schimmel LLC,1681.18
 1986,Cassie, Wilkinson Schroeder and Ortiz ,266.2 
1987,Dorise,Emard-Toy,3012.83
 1988,Maximo, Bartoletti Crist and Mertz ,2510.05 
 1989,Nathan, Grady Adams and Fisher ,1106.65 
1990,Kingsley,Mayert Inc,251.76
1991,Terra,Beahan-Block,3784.6
 1992,Ase, Jast Streich and Cassin ,1496.93 
1993,Jehu,Donnelly Inc,71.29
 1994,Donal, Murphy Anderson and Hauck ,552.91 
1995,Bradford,Berge-Tillman,3721.37
1996,Latrena,Brakus Group,1302.93
1997,Jillie,Bruen and Sons,3633.87
1998,Elvera,Jacobs-Pfeffer,3677.51
 1999,Georgeta, Abbott Mayert and Boyle ,111.24 
2000,Norry,Kunde-Corkery,3325.14
2001,Johan,Hettinger-Langworth,3190.05
2002,Torey,Breitenberg-Davis,1278.43
2003,Nikolaus,Kshlerin-Batz,2406.92
 2004,Thelma, Kiehn Hoppe and Gusikowski ,542.75 
2005,Phil,Walter Group,3872.29
 2006,Lamar, Prosacco Marvin and Wyman ,2813.72 
2007,Michelina,MacGyver-Bergstrom,2790.98
 2008,Bria, King Kautzer and Cruickshank ,847.1 
2009,Annette,Kling LLC,354.88
 2010,Scarlett, Donnelly Koch and Herman ,2484.87 
2011,Northrup,Padberg Inc,1818.01
2012,Charlotte,Wilderman-Hessel,3522.74
 2013,Theresita, Greenholt Graham and Block ,3334.06 
2014,Alanson,Wehner Inc,1814.54
2015,Petey,Mills-Keebler,885.31
2016,Winonah,McLaughlin Group,266.09
2017,Robby,Dicki LLC,3394.69
2018,Camella,Monahan-Blick,665.57
 2019,Darsie, Conroy Strosin and DuBuque ,2050.48 
2020,Marcille,Howell-Block,2064.02
2021,Charlene,Abernathy Group,682.45
 2022,Helge, Ferry Pacocha and Gulgowski ,2628.57 
2023,Andrus,Kulas-Stamm,1714.14
2024,Giovanna,Carter-Thiel,1902.34
 2025,Jacintha, Walker DuBuque and Ledner ,3382.58 
2026,Tonye,Kessler and Sons,1004.81
2027,Luigi,Wisozk Inc,2277.96
2028,Johnathon,Labadie LLC,1837.52
2029,Dalila,Boyer Group,3253.05
2030,Shanta,Mertz LLC,1231.6
2031,Nestor,Kessler-Labadie,1255.45
2032,Appolonia,Lemke Group,1472.65
 2033,Jandy, Brakus Murray and Christiansen ,2082.44 
2034,Ira,Denesik-Douglas,1917.6
2035,Cad,Botsford-Gleason,1360.01
2036,Ossie,Prosacco and Sons,1138.46
2037,Virginie,Kuvalis Group,3177.93
2038,Cherilynn,Aufderhar Group,2429.79
2039,Isahella,Kuvalis Inc,1854.63
2040,Paddy,Welch LLC,2637.47
2041,Orton,Murazik and Sons,3373.54
2042,Rozalin,Bednar-Moore,32.64
 2043,Ole, Swift Torp and Metz ,2272.19 
 2044,Tymon, Daniel Lowe and Bogisich ,1114.12 
 2045,Haley, Armstrong Bergstrom and Treutel ,2300.32 
2046,Raddy,Barton-Deckow,1166.13
 2047,Faythe, Robel Pouros and Jast ,1811.26 
 2048,Sibbie, Hegmann Kshlerin and Morar ,2104.72 
 2049,Woodie, Kuhlman Doyle and Eichmann ,1327.28 
2050,Pammi,Walsh-Glover,2583.79
2051,Connor,Cremin LLC,930.36
2052,Liuka,Hagenes Group,1395.78
2053,Mariel,Borer Group,422.82
2054,Inger,Kohler-Kshlerin,2718.02
 2055,Alvera, Kris Ziemann and Murazik ,2118.98 
 2056,Algernon, Kessler Welch and Price ,3867.71 
 2057,Doralia, Mayert Ryan and Emard ,2885.28 
 2058,Patton, Boehm Klein and Pollich ,3414.38 
2059,Natalya,Gleichner-Dickens,3459.81
2060,Marillin,Casper and Sons,2823.11
 2061,Mariquilla, Johnston O'Hara and Mayer ,2594.1 
2062,Christy,Smitham and Sons,2815.65
2063,Mordecai,Casper-Toy,3631.85
 2064,Carry, Windler Effertz and Witting ,1214.96 
2065,Magdalena,Kovacek and Sons,3855.86
 2066,Dorolisa, Fisher Crist and Leuschke ,3712.57 
2067,Giustina,Howe Inc,45.95
2068,Meris,Dickinson Group,2895.78
2069,Veradis,Windler-MacGyver,358.54
2070,Brian,Stracke-Ziemann,3572.22
 2071,Lorinda, Barton Erdman and Purdy ,3370.21 
 2072,Barny, Hartmann Rodriguez and Terry ,1757.01 
2073,Bertrand,Hirthe-Breitenberg,1845.55
2074,Jaime,Hudson-Rohan,1521.31
 2075,Madeleine, Daugherty Mraz and Predovic ,271.31 
 2076,Fawne, Metz Block and McGlynn ,3778.83 
2077,Wells,Schmitt-Leffler,3926.57
2078,Petr,Marvin LLC,2280.04
 2079,Mireille, Hermiston Smith and Bartell ,3178.91 
2080,Gunilla,Will-Collins,825.93
 2081,Myriam, Emmerich Rogahn and Braun ,870.39 
 2082,Kimball, Hudson Skiles and Keebler ,3098.09 
 2083,Paquito, Hyatt Yundt and Hyatt ,634.78 
2084,Karyl,Kassulke Inc,1988.12
 2085,Roi, Littel Pagac and Kozey ,3846.1 
2086,Betty,Weissnat LLC,393.98
2087,Keith,Nikolaus-Fay,1153.21
2088,Goldia,Luettgen Inc,2300.65
2089,Annetta,Shields-Gleichner,280.92
2090,Celia,Collins-Senger,3170.47
 2091,Baryram, Murphy Mayer and Mayer ,1544.63 
2092,Hanny,Yundt-Runolfsdottir,978.67
2093,Sharlene,Maggio-Doyle,553.34
 2094,Winifred, Stracke Beer and Leannon ,3819.3 
 2095,Park, Williamson Barrows and Mueller ,3331.42 
 2096,Goldi, Bailey Osinski and Parker ,1995.81 
2097,Velma,Dicki-Heaney,660.92
2098,Beaufort,Weber-Hodkiewicz,1489.46
 2099,Milena, Mills Kautzer and Okuneva ,2149.29 
2100,Evin,Anderson-Rodriguez,437.02
 2101,Tobie, Johnston Kemmer and Schaefer ,2782.95 
2102,Lynette,Torp-Monahan,912.2
 2103,Jesse, Harvey Cronin and Jones ,2209.49 
